query,page,clicks,impressions,ctr,position
weather in georgia in september,https://sakhva-travel.com/en/blog/georgia-in-september/,2,400,0.005,5.84
what to buy in tbilisi,https://sakhva-travel.com/en/blog/what-to-buy-in-georgia/,2,51,0.0392,3.98
what to do in tbilisi when it rains,https://sakhva-travel.com/en/blog/tbilisi-rainy-day/,2,16,0.125,3.44
when is tbilisoba,https://sakhva-travel.com/en/blog/tbilisoba/,2,9,0.2222,3.33
when is tbilisoba 2026,https://sakhva-travel.com/en/blog/tbilisoba/,2,42,0.0476,5.17
аренда в тбилиси,https://sakhva-travel.com/blog/arenda-kvartiry-tbilisi/,2,7,0.2857,8.57
билайн роуминг грузия,https://sakhva-travel.com/blog/rouming-v-gruzii/,2,26,0.0769,6.92
во сколько открывается метро в тбилиси,https://sakhva-travel.com/blog/metro-tbilisi/,2,60,0.0333,4.83
где вкусно поесть в тбилиси отзывы,https://sakhva-travel.com/blog/restorany-tbilisi/,2,11,0.1818,6.73
грузинские десерты в ресторане,https://sakhva-travel.com/blog/gruzinskie-sladosti/,2,15,0.1333,7.33
грузинские слова для начинающих,https://sakhva-travel.com/blog/gruzinskie-frazy/,2,22,0.0909,7.23
грузинские тосты друзьям,https://sakhva-travel.com/blog/gruzinskie-tosty/,2,32,0.0625,4.69
грузинские фразы,https://sakhva-travel.com/blog/gruzinskie-frazy/,2,97,0.0206,5.21
грузинский алфавит буквы,https://sakhva-travel.com/blog/gruzinskiy-alfavit/,2,30,0.0667,4.33
грузинский разговорник с ударениями,https://sakhva-travel.com/blog/gruzinskie-frazy/,2,15,0.1333,6.2
грузинский язык,https://sakhva-travel.com/blog/gruzinskie-frazy/,2,32,0.0625,3.22
грузинський алфавіт,https://sakhva-travel.com/blog/gruzinskiy-alfavit/,2,426,0.0047,6.76
грузия горячие источники,https://sakhva-travel.com/blog/termalnye-istochniki-gruzii/,2,28,0.0714,7.21
доброе утро на грузинском,https://sakhva-travel.com/blog/gruzinskie-frazy/,2,758,0.0026,8.85
казбеги зимой,https://sakhva-travel.com/blog/kazbegi-zimoy/,2,4,0.5,2.25
как снять деньги в грузии с российской карты,https://sakhva-travel.com/blog/karty-nalichnye-gruziya/,2,85,0.0235,6.07
какие карты работают в грузии,https://sakhva-travel.com/blog/karty-nalichnye-gruziya/,2,51,0.0392,7.33
какое море в грузии,https://sakhva-travel.com/blog/chernoe-more-gruzii/,2,286,0.007,8.92
канатная дорога тбилиси цена 2026,https://sakhva-travel.com/blog/kanatnaya-doroga-tbilisi/,2,2,1,1.5
маршрут по грузии на 7 дней,https://sakhva-travel.com/blog/gruziya-7-dney/,2,31,0.0645,8.35
нуниси источники,https://sakhva-travel.com/blog/termalnye-istochniki-gruzii/,2,18,0.1111,10.56
основные фразы по грузински,https://sakhva-travel.com/blog/gruzinskie-frazy/,2,10,0.2,4.7
по грузински здравствуйте,https://sakhva-travel.com/blog/gruzinskie-frazy/,2,363,0.0055,7.1
погода в грузии в сентябре,https://sakhva-travel.com/blog/gruziya-v-sentyabre/,2,242,0.0083,8.31
праздник тбилисоба,https://sakhva-travel.com/blog/tbilisoba/,2,27,0.0741,4.3
привет на грузинском,https://sakhva-travel.com/blog/gruzinskie-frazy/,2,949,0.0021,8.84
привет по грузински,https://sakhva-travel.com/blog/gruzinskie-frazy/,2,743,0.0027,8.22
рестораны в тбилиси,https://sakhva-travel.com/blog/restorany-tbilisi/,2,103,0.0194,8.65
роуминг в грузии,https://sakhva-travel.com/blog/rouming-v-gruzii/,2,87,0.023,4.39
роуминг в грузии мегафон,https://sakhva-travel.com/blog/rouming-v-gruzii/,2,39,0.0513,6.92
сколько букв в грузинском алфавите,https://sakhva-travel.com/blog/gruzinskiy-alfavit/,2,743,0.0027,5.2
сколько градусов чача,https://sakhva-travel.com/blog/chacha-gruzinskaya/,2,266,0.0075,6.32
сладости в грузии,https://sakhva-travel.com/blog/gruzinskie-sladosti/,2,21,0.0952,5.05
спасибо на грузинском русскими буквами,https://sakhva-travel.com/blog/gruzinskie-frazy/,2,107,0.0187,5.92
спасибо по грузински русскими буквами,https://sakhva-travel.com/blog/gruzinskie-frazy/,2,218,0.0092,5.45
спасибо по грузински ударение,https://sakhva-travel.com/blog/gruzinskie-frazy/,2,161,0.0124,5.57
схема метро тбилиси на русском,https://sakhva-travel.com/blog/metro-tbilisi/,2,47,0.0426,7.09
тбилиси аквапарк цена,https://sakhva-travel.com/blog/basseyny-tbilisi/,2,12,0.1667,5.17
тбилиси день города,https://sakhva-travel.com/blog/tbilisoba/,2,29,0.069,3.66
тбилиси рестораны,https://sakhva-travel.com/blog/restorany-tbilisi/,2,76,0.0263,7.87
термальные источники тбилиси,https://sakhva-travel.com/blog/termalnye-istochniki-gruzii/,2,10,0.2,6.5
техно клубы тбилиси,https://sakhva-travel.com/blog/kluby-tbilisi/,2,14,0.1429,3.14
тосты в грузии,https://sakhva-travel.com/blog/gruzinskie-tosty/,2,26,0.0769,5.62
тосты грузинские,https://sakhva-travel.com/blog/gruzinskie-tosty/,2,28,0.0714,5.57
тур в сванетию из тбилиси,https://sakhva-travel.com/ekskursiya/ekskursiya-svaneti-iz-tbilisi/,2,27,0.0741,2.93
уреки пляж,https://sakhva-travel.com/blog/ureki-plyazh/,2,71,0.0282,7.24
фразы на грузинском для туриста,https://sakhva-travel.com/blog/gruzinskie-frazy/,2,62,0.0323,3.71
фразы на грузинском с произношением,https://sakhva-travel.com/blog/gruzinskie-frazy/,2,78,0.0256,6.4
фуникулер тбилиси цена,https://sakhva-travel.com/blog/kanatnaya-doroga-tbilisi/,2,87,0.023,8.56
чем полезны магнитные пески в уреки,https://sakhva-travel.com/blog/ureki-plyazh/,2,18,0.1111,8.72
черепашье озеро тбилиси как добраться,https://sakhva-travel.com/blog/tbilisskoe-ozero/,2,19,0.1053,7.74
черные пески грузия,https://sakhva-travel.com/blog/ureki-plyazh/,2,85,0.0235,5.73
что делать в грузии в дождь,https://sakhva-travel.com/blog/tbilisi-v-dozhd/,2,14,0.1429,6.43
что привезти из грузии в подарок,https://sakhva-travel.com/blog/chto-privezti-iz-gruzii/,2,93,0.0215,9.92
что привезти из грузии в ручной клади,https://sakhva-travel.com/blog/chto-privezti-iz-gruzii/,2,25,0.08,4.88
що привезти з грузії,https://sakhva-travel.com/blog/chto-privezti-iz-gruzii/,2,4,0.5,4.25
ადგილები თბილისში,https://sakhva-travel.com/ge/blog/what-to-see-in-tbilisi/,2,21,0.0952,3.95
ამინდი ყაზბეგში,https://sakhva-travel.com/ge/pogoda/kazbegi/,2,403,0.005,9
ბორჯომი,https://sakhva-travel.com/ge/blog/borjomi-complete-guide/,2,626,0.0032,11.84
ბორჯომის პარკი ბილეთები,https://sakhva-travel.com/ge/blog/borjomi-complete-guide/,2,18,0.1111,7.5
ბოტანიკური ბაღი ტრანსპორტი,https://sakhva-travel.com/ge/blog/botanical-garden-tbilisi/,2,39,0.0513,5.87
გასტრო ტური,https://sakhva-travel.com/ge/ekskursiya/gastronomicheskiy-tur-tbilisi/,2,5,0.4,3.4
თბილისის აბანოები ფასი,https://sakhva-travel.com/ge/blog/sulfur-baths-tbilisi/,2,31,0.0645,5.26
თბილისის ბოტანიკური ბაღი ფასი,https://sakhva-travel.com/ge/blog/botanical-garden-tbilisi/,2,114,0.0175,6.53
თბილისის ლამაზი ადგილები,https://sakhva-travel.com/ge/blog/what-to-see-in-tbilisi/,2,31,0.0645,4.23
თბილისის რესტორნები,https://sakhva-travel.com/ge/blog/best-restaurants-tbilisi/,2,51,0.0392,10.43
თბილისის ტურისტული ადგილები,https://sakhva-travel.com/ge/blog/what-to-see-in-tbilisi/,2,17,0.1176,4.76
თბილისობა 2026,https://sakhva-travel.com/ge/blog/tbilisoba/#what,2,3910,0.0005,2.41
თბილისობა თარიღი,https://sakhva-travel.com/ge/blog/tbilisoba/,2,37,0.0541,4.05
თრუსოს ხეობა ლაშქრობა,https://sakhva-travel.com/ge/blog/truso-valley-hike/,2,13,0.1538,3.54
თრუსოს ხეობა მდებარეობა,https://sakhva-travel.com/ge/blog/truso-valley-hike/,2,352,0.0057,7.89
კარგი რესტორნები თბილისში,https://sakhva-travel.com/ge/blog/best-restaurants-tbilisi/,2,42,0.0476,7.36
კახეთი,https://sakhva-travel.com/ge/blog/kakheti-complete-guide/,2,355,0.0056,10.72
ლამაზი ადგილები თბილისში,https://sakhva-travel.com/ge/blog/what-to-see-in-tbilisi/,2,102,0.0196,6.29
მაგნიტური ქვიშა ურეკში,https://sakhva-travel.com/ge/blog/ureki-beach/,2,13,0.1538,7.69
მარტვილის კანიონი ბილეთები,https://sakhva-travel.com/ge/blog/martvili-canyon/,2,173,0.0116,7.53
მარტვილის კანიონის ფასი,https://sakhva-travel.com/ge/blog/martvili-canyon/,2,23,0.087,4.35
მოკლე სადღეგრძელო,https://sakhva-travel.com/ge/blog/georgian-toasts/,2,10,0.2,6.5
ნათლობის სადღეგრძელოები,https://sakhva-travel.com/ge/blog/georgian-toasts/,2,22,0.0909,8.32
რა ვნახოთ თბილისში,https://sakhva-travel.com/ge/blog/what-to-see-in-tbilisi/,2,35,0.0571,4.03
რიყე ნარიყალას საბაგირო ფასი,https://sakhva-travel.com/ge/blog/tbilisi-cable-car/,2,22,0.0909,4.27
როდის არის თბილისობა 2026,https://sakhva-travel.com/ge/blog/tbilisoba/,2,146,0.0137,4.11
სადღეგრძელოები თანმიმდევრობით,https://sakhva-travel.com/ge/blog/georgian-toasts/,2,17,0.1176,5.59
საინტერესო სადღეგრძელოები,https://sakhva-travel.com/ge/blog/georgian-toasts/,2,31,0.0645,6.74
სასეირნო ადგილები თბილისში,https://sakhva-travel.com/ge/blog/what-to-see-in-tbilisi/,2,48,0.0417,5.9
სვანეთის ტური თბილისიდან,https://sakhva-travel.com/ge/ekskursiya/ekskursiya-svaneti-iz-tbilisi/,2,12,0.1667,3.25
ტოპ რესტორნები თბილისში,https://sakhva-travel.com/ge/blog/best-restaurants-tbilisi/,2,39,0.0513,7.44
ქართული ანბანი ასოები,https://sakhva-travel.com/ge/blog/georgian-alphabet/,2,50,0.04,6.54
ყაზბეგი,https://sakhva-travel.com/ge/blog/transfer-tbilisi-to-kazbegi/,2,9,0.2222,1.44
ყაზბეგის გზა,https://sakhva-travel.com/ge/blog/kazbegi-complete-guide/,2,17,0.1176,6.41
ყაზბეგის ღირსშესანიშნაობები,https://sakhva-travel.com/ge/blog/things-to-see-kazbegi/,2,23,0.087,4.39
1 день,https://sakhva-travel.com/en/ekskursiya/rtveli-grape-harvest/,1,1,1,1
5 ვარსკვლავიანი სასტუმროები თბილისში,https://sakhva-travel.com/ge/blog/oteli-tbilisi-5-zvezd-v-centre/,1,48,0.0208,5.08
"71,72,73",https://sakhva-travel.com/blog/poezd-tbilisi-batumi/,1,1,1,5
alazani valley tours,https://sakhva-travel.com/en/ekskursiya/vinniy-marshrut-alazani/,1,18,0.0556,3.22
alfabet georgian,https://sakhva-travel.com/en/blog/georgian-alphabet/,1,16,0.0625,7.81
ananuri fortress,https://sakhva-travel.com/en/ekskursiya/ekskursiya-ananuri-iz-tbilisi/,1,30,0.0333,3.67
archi,https://sakhva-travel.com/en/blog/fabrika-tbilisi-guide/,1,1,1,4
bassiani face control,https://sakhva-travel.com/en/blog/tbilisi-techno-scene/,1,12,0.0833,9.58
batumi weather,https://sakhva-travel.com/en/pogoda/batumi/,1,19,0.0526,28.84
best beaches in georgia black sea,https://sakhva-travel.com/en/blog/black-sea-georgia/,1,17,0.0588,9.76
best museum tbilisi,https://sakhva-travel.com/en/blog/tbilisi-museums/,1,13,0.0769,7
best restaurants in tbilisi georgia,https://sakhva-travel.com/en/blog/best-restaurants-tbilisi/,1,2,0.5,5.5
best seat numbers,https://sakhva-travel.com/en/blog/tbilisi-batumi-train/,1,1,1,2
borjomi central park,https://sakhva-travel.com/en/blog/borjomi-complete-guide/,1,122,0.0082,10.87
borjomi georgia,https://sakhva-travel.com/en/blog/borjomi-complete-guide/,1,298,0.0034,11.57
borjomi mineral springs,https://sakhva-travel.com/en/blog/borjomi-complete-guide/,1,9,0.1111,5.44
botanical garden entry fee,https://sakhva-travel.com/en/blog/botanical-garden-tbilisi/,1,1,1,2
botanical garden tbilisi,https://sakhva-travel.com/en/blog/botanical-garden-tbilisi/,1,311,0.0032,9.69
botanical garden tbilisi price,https://sakhva-travel.com/en/blog/botanical-garden-tbilisi/,1,22,0.0455,2.5
botanika bağı,https://sakhva-travel.com/en/blog/botanical-garden-tbilisi/,1,1,1,2
brutalist tbilisi,https://sakhva-travel.com/en/blog/soviet-tbilisi-tour/,1,13,0.0769,10.31
bus tbilisi kazbegi,https://sakhva-travel.com/ge/blog/transfer-tbilisi-to-kazbegi/,1,14,0.0714,1.43
bus tbilisi to kazbegi,https://sakhva-travel.com/en/blog/transfer-tbilisi-to-kazbegi/,1,14,0.0714,3.43
bus to kazbegi from tbilisi,https://sakhva-travel.com/en/blog/transfer-tbilisi-to-kazbegi/,1,20,0.05,4.25
cable car in tbilisi,https://sakhva-travel.com/en/blog/tbilisi-cable-car/,1,31,0.0323,8.87
cable car tbilisi,https://sakhva-travel.com/en/blog/tbilisi-cable-car/,1,318,0.0031,9.18
cable car tbilisi price,https://sakhva-travel.com/en/blog/tbilisi-cable-car/,1,42,0.0238,4.62
cable car tbilisi ticket price,https://sakhva-travel.com/en/blog/tbilisi-cable-car/,1,121,0.0083,4.03
cable car tblisi,https://sakhva-travel.com/en/blog/tbilisi-cable-car/,1,8,0.125,8
can you swim in turtle lake tbilisi,https://sakhva-travel.com/en/blog/tbilisi-lakes/,1,5,0.2,9
ce poti cumpara din georgia,https://sakhva-travel.com/en/blog/what-to-buy-in-georgia/,1,1,1,1
cheapest taxi in tbilisi,https://sakhva-travel.com/en/blog/tbilisi-taxi-guide/,1,23,0.0435,8.13
cheers in georgian,https://sakhva-travel.com/en/blog/georgian-toasts/,1,301,0.0033,9.21
club techno tbilissi,https://sakhva-travel.com/en/blog/tbilisi-techno-scene/,1,13,0.0769,8.77
david gareja monastery,https://sakhva-travel.com/en/blog/david-gareja-monastery/,1,107,0.0093,9.76
david gareja monastery opening hours,https://sakhva-travel.com/en/blog/david-gareja-monastery/,1,3,0.3333,3.33
desde venezuela,https://sakhva-travel.com/en/blog/open-bank-account-georgia/,1,1,1,10
didube bus station to kazbegi,https://sakhva-travel.com/en/blog/transfer-tbilisi-to-kazbegi/,1,14,0.0714,6.07
distance between tbilisi and batumi,https://sakhva-travel.com/en/blog/batumi-from-tbilisi/,1,65,0.0154,7.22
fabrika coworking,https://sakhva-travel.com/en/blog/fabrika-tbilisi-guide/,1,24,0.0417,9.17
fabrika tbilisi wifi password,https://sakhva-travel.com/blog/digital-nomad-tbilisi/,1,10,0.1,7
family,https://sakhva-travel.com/en/ekskursiya/rtveli-grape-harvest/,1,1,1,11
first week october,https://sakhva-travel.com/en/blog/best-time-visit-kazbegi/,1,1,1,2
for malaysian?,https://sakhva-travel.com/en/blog/georgia-visa-2026/,1,1,1,5
fotos de exemplos,https://sakhva-travel.com/en/ekskursiya/kvevri-vino-tur/,1,1,1,2
